"","bclim12","bclim14","bclim15","bclim18","bclim19","bclim3","bclim6","bclim7","bclim8","bclim9"
"95",404,6,45.978687286377,109,123,45.2212448120117,-0.211999997496605,38.7200012207031,28.1513328552246,22.1186656951904
"96",162,8,23.4335193634033,44,40,40.5098419189453,-7.30399990081787,39.620002746582,20.7586669921875,4.78399991989136
"97",180,2,48.6318511962891,46,59,41.2571868896484,4.17199993133545,37.1199989318848,31.8573341369629,25.0973339080811
"98",245,1,55.6569862365723,57,100,45.9892616271973,0.259999990463257,31.5319995880127,7.47200012207031,15.3206663131714
"99",640,14,52.7989845275879,204,58,35.7789840698242,-5.57599973678589,40.4799995422363,19.4193344116211,2.8600001335144
"100",435,14,69.8279876708984,206,54,46.7955284118652,-3.91200017929077,35.076000213623,21.5860004425049,6.15000009536743
"101",572,7,110.544174194336,348,44,55.2088584899902,0.140000000596046,31.7600002288818,20.8646659851074,13.2839994430542
"102",1728,11,76.868782043457,79,813,51.5041580200195,-0.800000011920929,25.6399993896484,5.28000020980835,14.5593328475952
"103",670,4,82.8826599121094,326,150,51.9423866271973,1.34800004959106,32.4000015258789,23.564001083374,16.0139999389648
"104",656,15,59.6358642578125,294,53,25.2684135437012,-20.8880004882812,48.060001373291,19.4473342895508,-12.4720001220703
"105",314,8,55.4003219604492,133,26,41.4084014892578,-9.33199977874756,43.6240005493164,23.470666885376,0.248666763305664
"106",393,11,60.3287315368652,181,40,44.2184257507324,-12.7399997711182,38.6399993896484,15.7239999771118,-3.57933330535889
"107",304,1,89.0634307861328,12,172,57.4926719665527,6.38000011444092,23.1959991455078,13.0393333435059,21.0493335723877
"108",384,8,62.5314025878906,158,28,39.7960472106934,-10.8039999008179,42.6240005493164,18.4780006408691,-1.68866670131683
"109",410,1,100.696022033691,18,250,64.6642761230469,7.34375,14.7999992370605,12.5572919845581,16.033332824707
"110",1192,69,19.6061916351318,269,245,35.7443313598633,-2.6399998664856,36.2919998168945,15.6213331222534,4.78933334350586
"111",261,3,82.9810943603516,122,43,47.0494995117188,-1.38399994373322,36.7959976196289,25.2306671142578,16.4233341217041
"112",394,8,66.2087326049805,179,25,40.1905326843262,-8.60000038146973,42.7919998168945,21.5166664123535,0.689999878406525
"113",812,20,48.5922088623047,300,69,30.8493213653564,-10.423999786377,42.3239974975586,21.6473331451416,-2.68266654014587
"114",376,9,61.5785751342773,166,29,41.8033714294434,-8.53200054168701,40.7200012207031,19.9433326721191,0.713333308696747
"115",407,8,68.5553970336914,186,27,39.3978881835938,-9.42000007629395,42.9599990844727,20.7919998168945,-0.305333286523819
"116",228,6,63.2814788818359,104,21,40.9828681945801,-17.4479999542236,46.7000007629395,17.0493335723877,-5.98600006103516
"117",923,37,41.4811363220215,274,154,40.6675300598145,6.59999990463257,27.7240009307861,26.1346664428711,15.1286668777466
"118",742,16,55.1726455688477,320,62,27.5091228485107,-20.1000003814697,46.4039993286133,18.2299995422363,-11.4980001449585
"119",516,12,62.6847381591797,232,40,40.27294921875,-5.94400024414062,39.128002166748,24.4440002441406,2.94066667556763
"120",547,12,57.2988243103027,228,40,35.7083854675293,-9,42.7639999389648,21.7480010986328,-0.217999860644341
"121",834,37,44.4762115478516,244,135,40.2269706726074,7.38000011444092,26.7879981994629,26.6546669006348,15.7320003509521
"122",290,9,30.5367813110352,71,81,43.808666229248,-5.19999980926514,41.052001953125,5.10200023651123,17.07200050354
"123",152,9,19.5675487518311,36,45,45.7282752990723,-6.94400024414062,41.2480010986328,3.50399994850159,17.6373329162598
"124",277,15,16.4628677368164,69,62,39.9775123596191,-8.55200004577637,38.8359985351562,18.953332901001,-0.0319999866187572
"125",209,6,43.0333824157715,66,43,43.1391754150391,-6.86400032043457,40.7919998168945,22.5219993591309,16.1566677093506
"126",270,6,50.5942306518555,31,104,38.8200416564941,-3.3840000629425,33.4080009460449,1.90200006961823,19.7019996643066
"127",352,1,96.6101608276367,13,197,55.247859954834,6.86399984359741,19.5,13.0719995498657,19.9313335418701
"128",1553,30,58.4519309997559,147,653,44.1867446899414,-0.667999982833862,26.5599994659424,3.93199992179871,16.6526660919189
"129",921,24,50.3362274169922,338,81,30.6717052459717,-8.60000038146973,40.7519989013672,22.2759990692139,-1.21066677570343
"130",535,16,56.9190521240234,163,72,45.1183204650879,7.80000019073486,29.2999992370605,27.3713321685791,17.2313327789307
"131",682,7,94.4479446411133,196,30,65.4292449951172,3.31200003623962,24.6479988098145,17.775333404541,14.1133327484131
"132",1236,84,18.1422710418701,301,292,40.565486907959,3.43600010871887,30.6639976501465,22.7866668701172,15.2066669464111
"133",602,13,54.747444152832,197,55,36.9793281555176,-5.19999980926514,39.4039993286133,19.009334564209,3.25399994850159
"134",519,10,50.6805458068848,216,127,42.5678367614746,-8.76399993896484,36.6559982299805,18.3080005645752,10.2799997329712
"135",294,15,22.71311378479,59,72,41.600772857666,-10.5719995498657,41.4799995422363,6.96666622161865,18.3366661071777
"136",563,18,39.6417694091797,80,201,41.8130950927734,-6.39599990844727,35.5120010375977,-0.38266658782959,16.593334197998
"137",186,5,39.2346839904785,50,58,43.5909004211426,-1.58000004291534,37.6600036621094,7.21266651153564,17.9726676940918
"138",1028,14,90.030029296875,540,149,65.6603927612305,-1.71599996089935,26.3680000305176,15.7513332366943,11.1013336181641
"139",381,3,101.154792785645,152,28,60.3325119018555,4.87599992752075,29.1119995117188,23.6306667327881,18.767333984375
"140",367,23,20.3167781829834,98,92,41.3623275756836,-13.5319995880127,37.0200004577637,4.9026665687561,-2.8199999332428
"141",351,9,59.5896377563477,156,29,42.2328033447266,-9.39199924468994,42.2159996032715,22.542667388916,0.378666877746582
"142",550,20,50.6830444335938,162,77,43.5159378051758,6.19999980926514,30.1199989318848,26.6133346557617,15.4306669235229
"143",1079,41,27.0865020751953,288,163,33.0820503234863,-6.32000017166138,38.2039985656738,17.9899997711182,1.20999991893768
"144",274,2,99.1429824829102,176,60,56.6835060119629,5.1560001373291,32.0640029907227,28.1926670074463,22.4899997711182
"145",83,0,57.6235504150391,32,26,47.812915802002,4.76800012588501,35.0999984741211,28.8226661682129,24.978666305542
"146",219,8,45.1312484741211,31,89,45.7583389282227,-6.61199998855591,38.8919982910156,1.23933327198029,19.5453338623047
"147",266,11,29.5545692443848,49,85,36.0043449401855,-9.99600028991699,42.3560028076172,-2.38866662979126,20.2919998168945
"148",328,11,71.4387283325195,163,37,44.5940284729004,-6.81599998474121,36.620002746582,19.2853336334229,2.83800005912781
"149",402,9,65.5808944702148,171,38,64.0214309692383,6.32000017166138,26.0719985961914,22.9973335266113,16.5906658172607
"150",75,0,73.0158615112305,17,40,62.2435874938965,8.19600009918213,23.9200019836426,16.3353328704834,19.7066669464111
"151",390,10,59.190486907959,158,43,68.6415939331055,4.05999994277954,26.2119998931885,19.5146675109863,13.9233331680298
"152",284,12,44.722843170166,67,38,34.1682281494141,-12.8319997787476,40.6040000915527,8.0533332824707,-6.09800004959106
"153",638,32,36.5759925842285,241,148,43.3225212097168,-12.9440002441406,37,13.8413333892822,7.26466655731201
"154",1176,57,22.1218204498291,241,257,37.5623931884766,-0.703999996185303,34.7279968261719,16.8666667938232,26.3320007324219
"155",480,1,93.9521026611328,6,268,48.7047500610352,2.4520001411438,30.4959983825684,10.0606670379639,22.5006656646729
"156",571,28,34.8807182312012,160,96,37.1237564086914,-11.3479995727539,35.7040023803711,7.2039999961853,-5.31866693496704
"157",338,2,111.019828796387,237,56,56.668399810791,5.25999975204468,34.6160011291504,30.7513332366943,21.8853340148926
"158",372,4,104.574012756348,211,22,51.5417747497559,-0.671999990940094,36.1920013427734,24.3013343811035,11.9180002212524
"159",284,16,21.6829605102539,54,65,35.1549911499023,-7.84800004959106,41.4640007019043,9.7073335647583,22.9606666564941
"160",504,14,54.4133644104004,194,49,42.3360633850098,-3.43200016021729,37.1479988098145,24.0359992980957,5.60933351516724
"161",307,5,71.6703186035156,134,64,48.9439125061035,-4.03599977493286,37.8439979553223,23.253999710083,13.7706670761108
"162",213,6,29.7491188049316,48,52,38.6942405700684,-8.02799987792969,42.984001159668,19.0879993438721,16.6233329772949
"163",595,26,55.6579856872559,264,96,43.8811531066895,-10.6680002212524,33.0400009155273,13.0786666870117,0.0633334293961525
"164",730,16,53.7171325683594,277,55,29.282190322876,-12.2440004348755,42.7039985656738,21.0359992980957,-4.80999994277954
"165",282,12,23.831600189209,46,75,41.2214813232422,-6.34000015258789,35.4160003662109,5.2946662902832,18.4873332977295
"166",53,0,60.7005882263184,19,20,45.3486404418945,8.80399990081787,27.7840003967285,27.6186676025391,24.3286666870117
"167",605,16,40.5042572021484,85,216,42.7916145324707,-7.52400016784668,34.3720016479492,-1.49000000953674,14.7046670913696
"168",1145,23,73.5230407714844,415,111,51.9409523010254,12.8080005645752,22.2399997711182,27.6760005950928,20.5686664581299
"169",311,15,27.1375484466553,70,100,35.0949554443359,-13.6079998016357,43.3880004882812,-4.80933332443237,14.2779998779297
"170",1207,60,22.8466396331787,281,219,34.5454368591309,-3.86800003051758,35.007999420166,13.7873334884644,3.35933327674866
"171",1308,82,13.5062665939331,285,343,39.144645690918,0.284000009298325,33.1479988098145,17.2933330535889,22.7760009765625
"172",834,24,45.4243087768555,289,86,31.3661041259766,-7.56799983978271,40.7680015563965,22.5686664581299,-0.00866671372205019
"173",288,3,49.8725662231445,77,89,45.5880737304688,2.9760000705719,36.6279983520508,29.7606658935547,22.7173328399658
"174",269,19,12.5443983078003,67,58,41.770866394043,-9.98400020599365,39.9879989624023,6.19133329391479,-2.04533338546753
"175",433,8,63.0893707275391,176,32,30.4334278106689,-14.3920001983643,46.036003112793,19.6380004882812,-6.47533321380615
"176",422,26,14.7177133560181,110,87,39.4501037597656,-12.3199996948242,39.2799987792969,3.43200016021729,-5.24399995803833
"177",650,11,60.7125701904297,263,37,32.8576583862305,-11.3999996185303,42.3959999084473,20.4393329620361,-3.13933324813843
"178",930,50,28.8324108123779,186,184,38.6533851623535,1.75600004196167,33.8279991149902,22.9179992675781,9.3206672668457
"179",467,10,49.9727821350098,43,178,44.550235748291,-7.26399993896484,36.7600021362305,0.260666638612747,17.003999710083
"180",1423,96,16.2327060699463,332,413,41.4496383666992,2.59599995613098,30.8720016479492,10.5766658782959,23.445333480835
"181",233,4,81.5973968505859,109,38,46.8714866638184,-1.68800008296967,37.9519996643066,25.8719997406006,17.0459995269775
"182",363,8,70.7446136474609,157,30,32.5127754211426,-14.5920000076294,46.1879997253418,18.4946670532227,-6.25666666030884
"183",450,10,67.4097518920898,155,37,48.6231422424316,4.00400018692017,31.8599987030029,25.2433338165283,14.6893329620361
"184",435,1,87.4864196777344,13,221,51.5912895202637,-0.219999998807907,35.0240020751953,8.58533382415771,22.6886672973633
"185",961,3,76.4111022949219,31,444,45.6288909912109,0.435999989509583,35.5439987182617,7.33799982070923,24.1679992675781
"186",337,12,32.8969955444336,47,110,42.1741600036621,-8.35599994659424,36.3880004882812,-1.44666659832001,15.9953336715698
"187",586,22,45.9019927978516,168,85,43.706298828125,4.65999984741211,32.2280006408691,26.9220008850098,14.5833339691162
"188",779,24,41.2760772705078,250,84,33.6184196472168,-5.92799997329712,41.0400009155273,24.156665802002,2.24666666984558
"189",701,9,104.686492919922,412,64,56.2099418640137,-0.412000000476837,30.5799999237061,19.5400009155273,14.9506664276123
"190",738,34,34.8845367431641,210,114,42.0009231567383,0.548000037670135,33.2080001831055,23.3826675415039,9.13533306121826
"191",315,20,16.4208297729492,85,65,37.6002807617188,-14.2519998550415,38.060001373291,5.4573335647583,-6.74866676330566
"192",778,16,54.3134117126465,302,58,31.4821872711182,-9.48400020599365,41.8480033874512,21.7626667022705,-1.82533323764801
"193",523,13,55.4510765075684,204,48,39.2808570861816,-2.98000001907349,38.2119979858398,24.9080009460449,5.67866659164429
"194",539,6,88.9533233642578,272,118,52.1036720275879,0.407999992370605,34.4160003662109,24.2566661834717,20.0233325958252
"195",360,21,17.3987064361572,76,84,36.461498260498,-8.97200012207031,42.1440010070801,13.1586666107178,20.9980010986328
"196",273,3,96.4021606445312,150,32,48.6281051635742,-1.6800000667572,37.2719993591309,24.7946662902832,17.1926670074463
"197",582,23,43.2556610107422,204,77,32.8139419555664,-13.9799995422363,44.7959976196289,18.2946662902832,-5.5886664390564
"198",318,7,68.5318832397461,148,23,40.707649230957,-10.42799949646,44.7679977416992,20.8813323974609,-0.48266664147377
"199",815,27,48.2580375671387,238,91,33.814868927002,-4.09999990463257,38.4879989624023,19.9820003509521,3.68733334541321
"200",628,29,27.7109680175781,127,145,40.0123100280762,-5.71199989318848,35.2000007629395,10.9866666793823,17.3053340911865
"201",477,2,117.008575439453,266,59,56.5149116516113,7.93600034713745,30.3559989929199,29.5633335113525,22.6439990997314
"202",366,5,69.8609466552734,148,87,46.8929061889648,2.55599999427795,33.7400016784668,27.1553325653076,21.7153339385986
"203",625,21,47.040641784668,215,75,34.7848167419434,-11.6920003890991,41.9799995422363,13.0773334503174,-3.6726667881012
"204",194,8,40.8774452209473,31,76,45.077465057373,-6.30000019073486,39.0719985961914,1.3639999628067,20.2280006408691
"205",584,14,49.0588531494141,69,232,41.3367958068848,-9.81999969482422,38.5,-2.76133322715759,15.9553337097168
"206",807,19,51.1319808959961,298,64,30.1856422424316,-11.4200000762939,42.2319984436035,21.1086654663086,-3.67133331298828
"207",494,1,121.574058532715,359,47,53.2584342956543,10.508695602417,23.8956508636475,29.2000007629395,22.1971015930176
"208",564,1,90.5711059570312,12,306,47.1082000732422,1.14800000190735,33.7159996032715,7.88666677474976,23.7526664733887
"209",857,12,83.3304824829102,377,57,52.9535446166992,12.6599998474121,22.5040016174316,28.9353332519531,21.1073341369629
"210",1202,11,91.2343597412109,665,175,65.8494110107422,-4.17600011825562,27.7760009765625,14.5220003128052,8.18333339691162
"211",636,9,105.99324798584,378,57,56.8038444519043,-0.19200000166893,32.1240005493164,20.546667098999,15.9606666564941
"212",278,12,60.2965316772461,116,45,45.1474342346191,-9.66400051116943,39.9720001220703,18.9953327178955,4.4093337059021
"213",240,13,24.0249996185303,55,66,44.7819290161133,-6.86800003051758,36.8079986572266,0.140000030398369,17.6593341827393
"214",366,9,60.5146026611328,150,32,32.8144302368164,-13.9119997024536,46.4439964294434,19.4713325500488,-5.51266670227051
"215",1025,43,34.4142570495605,244,153,35.280876159668,-2.73600006103516,36.576000213623,20.3120002746582,5.1986665725708
"216",738,33,35.0575637817383,162,142,38.489688873291,1.45200002193451,33.4280014038086,22.5713329315186,10.4206666946411
"217",317,1,89.9966735839844,12,166,57.3133239746094,6.8120002746582,22.3199996948242,13.3093338012695,21.1539993286133
"218",639,5,108.584144592285,154,29,62.5591773986816,5.72399997711182,25.9119987487793,21.0659999847412,18.6613330841064
"219",580,7,110.537055969238,354,45,55.6455039978027,0.572000026702881,31.3759994506836,21.1046676635742,13.6253337860107
"220",1079,48,27.9694557189941,328,166,28.6122131347656,-9.83199977874756,40.2799987792969,20.8466663360596,-2.84533333778381
"221",398,15,45.8007888793945,58,159,37.9660568237305,-14.2760000228882,44.2719993591309,-4.69466686248779,17.0433330535889
"222",723,16,75.321533203125,292,59,56.6166000366211,7.15199995040894,24.3680000305176,24.0866661071777,15.3559999465942
"223",1507,56,51.9885940551758,391,224,51.9161415100098,14.6640005111694,17.7439994812012,25.8680000305176,20.4086666107178
"224",305,0,91.1303176879883,9,164,58.5411758422852,1.83200001716614,28.8680000305176,11.0033330917358,20.4866676330566
"225",254,6,36.0816802978516,58,77,42.0259895324707,-1.21599996089935,38.2200012207031,7.47933340072632,18.7880001068115
"226",530,18,43.4866790771484,162,66,43.0945854187012,-0.61599999666214,34.8759994506836,23.5566673278809,9.58933353424072
"227",655,27,38.643238067627,205,94,43.1490745544434,0.184000000357628,33.5040016174316,23.1959991455078,9.99666690826416
"228",412,8,63.7130661010742,166,31,34.127384185791,-12.7239999771118,43.7840003967285,18.4853324890137,-4.48000001907349
"229",768,16,54.0037651062012,320,59,25.5427551269531,-16.0799999237061,44.0960006713867,20.9340000152588,-8.69533348083496
"230",470,14,58.827579498291,205,86,43.3743591308594,-9.2839994430542,39,18.7280006408691,8.4040002822876
"231",87,0,70.5126571655273,26,43,62.8732414245605,7.87200021743774,28.935998916626,17.0419998168945,21.3786659240723
"232",1128,49,29.1472015380859,259,184,34.1598701477051,-2.96399998664856,36.2960014343262,19.931999206543,4.68466663360596
"233",191,1,52.2353363037109,46,62,45.7512588500977,3.38800001144409,40.2080001831055,32.6479988098145,25.9766674041748
