bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,elevation
11.75062466,21.80083275,2.5521667,209.8300018,26,7,34.38985443,73,27,30,73,13.60941696,39.67921448,806.2319946,28.65999985,-6.769999981,37.01499939,3.019999981,22.43166733,1165
14.18858337,22.28466606,6.832499981,764.8699951,145.6100006,2,85.27845764,393.8699951,17.84000015,25.67000008,386.2000122,13.81916714,44.85254288,646.6623535,29.34300041,-1.467000008,30.80999947,7.284666538,22.2385006,513.4023438
14.75854206,23.25333405,7.380666256,723.4899902,143,2,85.22937012,384.7999878,18,23.70000076,363.8800049,13.7017498,44.34472275,667.0484619,31.75,-1.447000027,31.04999924,8.314499855,23.29833412,416.4505615
10.44649982,20.09183311,1.265500069,243.5899963,31.90999985,8.489999771,40.15658188,92.43000031,31.60000038,32.52999878,90.40000153,14.76433372,40.98335648,776.2547607,28.51299858,-7.339999676,36.32999802,1.817333341,20.38433266,1526.601685
11.39812469,20.37949944,3.029999971,197.5,27,7,38.22617722,74,27,29,74,13.28983307,39.01013565,751.2827148,26.89500046,-7,32.79499817,3.029500008,20.90216637,1165
11.56937504,20.92950058,2.032000065,192.4499969,27,7,37.76768112,74,27,29,74,14.97091675,40.49095154,812.7012329,30.5890007,-7.170000076,34.83499908,1.984166622,21.32083321,1164.747559
14.49750042,22.57016563,6.955832958,677.3099976,139.3000031,2,85.37805176,388.8500061,17.54999924,22.79999924,369,14.02500057,44.61543655,663.4269409,30.84999847,-1,31.46199989,7.380833149,23.20149994,483.0440369
15.961833,23.55433273,8.115166664,610.4199829,140.8800049,2,85.72490692,350.6000061,15.78999996,23.62000084,345.8299866,14.46833324,44.45998001,695.8956909,31.01900101,-0.300000012,31.25299835,8.55700016,23.0613327,349.3918457
14.09645844,22.16016579,6.849999905,733,141.1000061,2,87.60296631,387.1000061,16.54999924,21.95999908,381,14.76041698,46.79190063,636.0565796,29.64500046,-1.832999945,31.54500008,7.371333122,21.99416733,441.3143616
14.50508308,22.37983322,7.110500336,681.8300171,135.8000031,2,87.50774384,352.1000061,17.10000038,21.60000038,363.4299927,13.85058308,46.22480392,642.1437988,29.79199982,-1.100000024,31.28000069,7.942500114,22.97866631,481.3726501
10.01337528,20.02750015,1.135666609,248.9700012,31.25,8,40.50477982,91.94999695,33.61000061,32.65000153,97.26999664,15.33908367,40.64216232,779.2659912,28.22700119,-7.930000305,35.65000153,1.195833325,20.08749962,1694.568237
14.73462486,23.16166687,7.499500275,618.8400269,130.2899933,2,87.88481903,334.3800049,14.89999962,19.70999908,365.7000122,14.18875027,45.39819336,645.5328369,30.23999977,-0.810000002,31.43700027,7.823166847,22.57933235,587.880127
10.55158329,20.20650101,1.669499993,222.9299927,30.89999962,7,45.82984924,91.30000305,27,29.72999954,87.56999969,16.9363327,44.55905151,760.6311646,29.79999924,-7.870000362,37.70000076,1.851333261,20.02616692,1375.545044
10.77062511,20.86083412,1.451666594,200.3500061,27,7,45.2901001,86.5,27,28,84.19999695,16.47291565,43.07245255,775.6541748,30.28999901,-7.5,37.70000076,1.715999961,20.02083397,1463.744995
10.04058361,20.0826664,1.213333368,235.3500061,27,8,41.72394943,80.19999695,32,30.5,75.30000305,15.33399963,40.06816101,768.9538574,28.72999954,-7.669999599,36.85499954,1.656500101,20.12083244,1434.853882
11.42933369,21.47516632,2.046666622,181.3300018,23.03000069,8,35.49459076,63.88999939,33.25,33.34999847,63.88999939,14.46666622,41.07199478,800.4851074,30.27300072,-6.718999863,37.10200119,1.871666551,21.47750092,1510.137329
14.26487541,22.37249947,7.129166603,749.5,146.6300049,2,89.61607361,385.8500061,14.81999969,22.20000076,339.9500122,14.25083351,45.62825775,638.324707,29.22799873,-1.144999981,30.77099991,7.307499886,22.45750046,561.6801758
15.20566654,23.65916634,7.556166649,593.7700195,116.0500031,2,89.27753448,303.25,13,12.64999962,318.8999939,15.13500023,45.49263382,670.8325195,31.02000046,-0.959999979,31.33799934,7.750999928,23.19649887,339.4663696
