,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
0,-1.017698277,-1.99274056,-1.179293474,-0.339040968,0.248974092,0.085862282,0.491787769,-0.505920951,0.053093638,0.288734478,-0.011146135,0.033309438,0.015641258,-0.028618537,-0.070362257,-0.036056721,0.079431888,-0.013480504,0.116139755,-0.012060051
0,2.756286054,-4.074323435,0.596176583,-0.37103745,-1.088183568,0.915361204,0.112832649,0.225791992,-0.330814828,-0.072128406,-0.159342923,0.089111987,0.015466377,-0.127732466,0.107739125,-0.025929102,0.009176087,-0.008421933,-0.031182377,0.006077323
0,-0.463377942,-0.324591479,-2.060434539,-1.385920289,-0.753695676,0.407579945,-0.284232801,-0.318170598,-0.071618233,0.342448425,0.096088169,-0.027774506,-0.040027534,0.239241694,-0.221230463,0.016977318,0.018641985,0.001390875,0.043522267,-0.02135399
0,-0.234147079,-0.145164406,-0.535798182,-0.456073383,-0.318374693,-0.038535983,-0.561674308,-0.74735441,-0.286603031,0.940230939,0.083491874,0.033736185,0.08326421,-0.054121126,0.013504306,0.224259799,0.028004416,0.040993309,0.035306188,0.000396439
0,-3.344400714,-1.515632008,-1.50648246,-1.101860889,-1.664104105,0.099920863,0.141457729,0.532604425,0.351728192,0.117488826,-0.02159438,0.010996387,0.04993836,-0.061433074,-0.043773671,-0.121427297,0.006306541,0.054801629,-0.053573619,0.094924617
0,-0.648036893,-0.89832778,-2.106531705,-0.873900801,-0.623236806,0.501029617,-0.150758249,-0.305900344,0.059139736,-0.042066016,0.122603726,-0.082279941,-0.117539856,0.376447746,-0.340627018,-0.096742077,-0.060297202,-0.004945664,0.0081484,-0.076980959
0,-1.476449892,-1.580186582,-1.28615998,-0.708993947,1.226377687,0.442609561,0.22849206,-0.795585262,0.146271803,-0.168341162,0.249680014,-0.191824887,-0.194387055,0.442513673,-0.283052976,0.063765321,-0.042011241,-0.099273522,0.03626481,-0.128773176
0,-1.178020104,0.979983887,0.806544879,0.422101535,-0.047493592,-0.268583984,-0.717014723,-0.982254319,0.083782933,0.965634797,0.123474855,-0.013145212,0.054431599,0.018987057,0.006354214,0.299002488,0.071198621,0.05928383,-0.031632782,0.013355935
0,-1.816032734,1.574228231,-0.3871391,1.986866253,0.489085817,0.340919593,-0.10599934,-0.509084364,0.093774351,-0.052678721,0.043371511,-0.127322863,-0.176384444,0.241432221,-0.21551181,-0.06219205,-0.04182647,-0.046700773,-0.03861867,-0.040850131
0,-4.2989308,1.536061593,-1.383501554,0.588565357,-0.201599919,0.982482021,-0.412017669,-0.339445937,0.174540413,-0.16547477,0.018440246,0.014616041,-0.02263782,0.001512478,-0.098595065,-0.111425455,0.056677235,-0.051380572,-0.064993217,0.014729964
0,-0.153127232,-2.716076349,-0.25468599,-0.231853193,-1.051397274,-0.469738311,0.014384031,-0.339023581,-0.07004526,0.362775084,0.047886769,-0.087967859,-0.000778092,0.175235968,-0.103278944,0.126830296,-0.01355906,0.029262076,0.041688599,-0.033240062
0,1.205216888,-0.818276242,-2.517000587,-0.3445728,-0.39850627,0.367551227,0.028162585,-0.573427584,0.295421091,0.11940341,0.004065104,0.029285761,0.014665305,-0.046133958,-0.031757775,0.027108485,0.002330756,0.016940998,0.022477095,-0.009044326
0,2.757688249,-0.140815694,-0.356532713,0.922551255,0.51209305,-0.434154646,0.079188742,0.246355882,-0.084004081,0.1102096,-0.11087561,0.032775232,0.080321778,-0.229655171,0.199739463,0.092726632,0.015131648,-0.018291119,-0.007260287,0.040497654
0,-0.463317986,-1.601011475,-0.337989987,-1.501866616,-0.727887247,-0.380396392,-0.204379167,-0.467194703,-0.3234872,0.112089577,0.064904854,-0.059659051,-0.023643801,0.32115856,-0.116668046,0.030446474,0.019553471,0.029331137,0.009993347,0.039446445
0,2.461330682,-1.247321502,-2.452570756,-0.786858729,-0.189473157,0.121023633,-0.413674251,0.304011492,0.188482445,-0.309317679,0.122183092,-0.085032888,-0.099919226,0.385693131,-0.247625049,-0.112461697,-0.052536684,-0.032380549,-0.015076653,-0.056445667
